Q_1,Q_2(1Al),Q_2,Q_3(1Al),Q_3,target
0.67,0.21,0.09,0.03,0.0,10.98
0.71,0.22,0.06,0.02,0.0,13.8
0.81,0.19,0.0,0.0,0.0,14.2
0.71,0.22,0.08,0.0,0.0,14.39
0.67,0.21,0.12,0.0,0.0,14.57
0.59,0.21,0.21,0.0,0.0,14.75
0.55,0.2,0.25,0.0,0.0,16.07
0.63,0.21,0.16,0.0,0.0,16.69
0.55,0.2,0.17,0.07,0.0,16.88
0.48,0.2,0.32,0.0,0.0,17.09
0.51,0.2,0.29,0.0,0.0,17.69
0.63,0.21,0.12,0.04,0.0,17.75
0.35,0.21,0.29,0.01,0.13,18.22
0.41,0.19,0.4,0.0,0.0,18.32
0.59,0.21,0.15,0.06,0.0,18.85
0.29,0.21,0.35,0.04,0.1,19.76
0.38,0.19,0.42,0.01,0.0,21.04
0.44,0.19,0.36,0.0,0.0,21.31
0.51,0.2,0.2,0.09,0.0,21.67
0.35,0.21,0.31,0.0,0.13,22.09
0.32,0.21,0.36,0.01,0.11,22.3
0.35,0.21,0.32,0.01,0.11,22.33
0.32,0.21,0.36,0.04,0.08,22.41
0.35,0.21,0.4,0.04,0.0,22.51
0.32,0.21,0.34,0.03,0.11,22.65
0.35,0.21,0.32,0.04,0.05,22.66
0.35,0.21,0.33,0.03,0.08,22.74
0.35,0.21,0.33,0.0,0.11,22.76
0.35,0.21,0.37,0.01,0.05,22.76
0.48,0.2,0.23,0.1,0.0,22.77
0.35,0.21,0.32,0.04,0.08,22.91
0.35,0.21,0.36,0.03,0.05,22.98
0.32,0.21,0.38,0.01,0.08,23.02
0.32,0.21,0.34,0.0,0.11,23.1
0.32,0.21,0.33,0.04,0.11,23.35
0.38,0.19,0.34,0.09,0.0,23.47
0.32,0.21,0.34,0.0,0.13,23.58
0.32,0.21,0.32,0.0,0.16,23.61
0.29,0.21,0.34,0.01,0.1,23.61
0.32,0.21,0.37,0.03,0.08,23.75
0.35,0.21,0.31,0.03,0.11,23.8
0.41,0.19,0.34,0.04,0.03,23.81
0.32,0.21,0.32,0.03,0.13,23.97
0.26,0.21,0.41,0.03,0.1,24.16
0.29,0.21,0.34,0.04,0.13,24.23
0.44,0.19,0.26,0.1,0.0,25.06
0.41,0.19,0.34,0.01,0.05,25.2
0.32,0.21,0.34,0.0,0.13,25.35
0.41,0.19,0.32,0.0,0.08,25.44
0.32,0.21,0.42,0.05,0.0,25.48
0.26,0.21,0.44,0.1,0.0,25.52
0.41,0.19,0.35,0.0,0.05,25.59
0.35,0.21,0.33,0.11,0.0,25.85
0.41,0.19,0.28,0.04,0.08,25.88
0.41,0.19,0.31,0.04,0.05,25.93
0.29,0.21,0.4,0.1,0.0,26.24
0.41,0.19,0.36,0.01,0.03,26.26
0.41,0.19,0.3,0.0,0.11,26.42
0.41,0.19,0.3,0.1,0.0,26.43
0.29,0.21,0.44,0.06,0.0,26.52
0.41,0.19,0.31,0.04,0.05,26.58
0.41,0.19,0.32,0.03,0.05,26.58
0.41,0.19,0.27,0.03,0.11,26.6
0.32,0.21,0.37,0.11,0.0,26.64
0.41,0.19,0.27,0.0,0.14,26.74
0.26,0.21,0.46,0.08,0.0,26.82
0.32,0.21,0.33,0.01,0.13,27.16
0.41,0.19,0.31,0.01,0.08,27.26
0.29,0.21,0.35,0.03,0.13,27.37
0.41,0.19,0.3,0.03,0.08,27.55
0.35,0.21,0.36,0.0,0.08,27.7
0.41,0.19,0.3,0.03,0.08,27.87
0.23,0.2,0.42,0.03,0.13,27.88
0.26,0.21,0.4,0.01,0.13,28.22
0.26,0.21,0.38,0.03,0.13,28.27
0.29,0.21,0.38,0.03,0.1,28.28
0.26,0.21,0.37,0.01,0.15,28.53
0.29,0.21,0.38,0.0,0.13,28.6
0.23,0.2,0.47,0.1,0.0,28.73
0.29,0.21,0.34,0.01,0.16,28.84
0.23,0.2,0.48,0.09,0.0,29.24
0.23,0.2,0.38,0.04,0.15,30.01
0.2,0.2,0.44,0.04,0.13,30.09
0.41,0.19,0.28,0.01,0.11,30.21
0.41,0.19,0.35,0.03,0.03,30.51
0.23,0.2,0.39,0.03,0.15,30.69
0.32,0.21,0.37,0.03,0.08,30.99
0.2,0.2,0.5,0.1,0.0,31.14
0.29,0.21,0.36,0.01,0.13,31.41
0.26,0.21,0.36,0.03,0.15,31.44
0.26,0.21,0.37,0.01,0.15,31.49
0.26,0.21,0.37,0.04,0.13,31.55
0.2,0.2,0.4,0.05,0.15,31.96
0.35,0.21,0.35,0.01,0.08,32.09
0.17,0.2,0.46,0.05,0.12,32.17
0.23,0.2,0.42,0.03,0.13,32.51
0.29,0.21,0.35,0.0,0.16,32.79
0.17,0.2,0.48,0.06,0.12,33.21
0.15,0.2,0.46,0.05,0.15,33.3
0.15,0.2,0.45,0.06,0.15,33.63
0.23,0.2,0.43,0.04,0.1,33.65
0.17,0.2,0.44,0.04,0.15,33.7
0.17,0.2,0.42,0.06,0.15,33.87
0.17,0.2,0.43,0.05,0.15,34.11
0.1,0.19,0.5,0.07,0.14,34.13
0.2,0.2,0.43,0.03,0.15,34.3
0.2,0.2,0.41,0.04,0.15,36.02
0.12,0.19,0.48,0.06,0.14,36.16
0.07,0.19,0.49,0.08,0.16,36.41
0.1,0.19,0.49,0.08,0.14,38.38
0.05,0.19,0.52,0.08,0.16,40.19
0.07,0.19,0.51,0.07,0.16,40.4
0.02,0.21,0.51,0.1,0.15,41.66
0.05,0.19,0.51,0.09,0.16,42.35
0.0,0.21,0.53,0.1,0.16,43.04
0.05,0.21,0.49,0.08,0.16,43.77
0.02,0.18,0.54,0.09,0.16,43.97
